Feature,Original_Value,Reference_Median,Original_Score,Modified_Score,Score_Change,Absolute_Influence,Anomaly_Index,City
Central_assistance_released,2127.72,10.85,211.26249744601745,222.40481804648073,-11.142320600463279,11.142320600463279,5,Bengaluru Municipal Corporation
Investment,20837.81,41.66,211.26249744601745,218.15732232429596,-6.894824878278513,6.894824878278513,5,Bengaluru Municipal Corporation
Houses_completed,88666.0,647.0,211.26249744601745,214.5148323112028,-3.252334865185361,3.252334865185361,5,Bengaluru Municipal Corporation
Houses_sanctioned,136578.0,849.0,211.26249744601745,213.68537220259904,-2.4228747565815922,2.4228747565815922,5,Bengaluru Municipal Corporation
Houses_grounded,124019.0,739.0,211.26249744601745,213.00408676326032,-1.7415893172428696,1.7415893172428696,5,Bengaluru Municipal Corporation
Central_assistance_released,374.56,10.85,210.02860966846183,226.52730601095945,-16.498696342497624,16.498696342497624,6,Greater Mumbai Municipal Corporation
Investment,7324.68,41.66,210.02860966846183,225.47447419267138,-15.445864524209554,15.445864524209554,6,Greater Mumbai Municipal Corporation
Central_assistance_sanctioned,1634.56,13.48,210.02860966846183,224.12519353553205,-14.096583867070223,14.096583867070223,6,Greater Mumbai Municipal Corporation
Houses_completed,137793.0,647.0,210.02860966846183,198.4260895441217,11.602520124340117,11.602520124340117,6,Greater Mumbai Municipal Corporation
Houses_grounded,141515.0,739.0,210.02860966846183,207.1207688696268,2.907840798835025,2.907840798835025,6,Greater Mumbai Municipal Corporation
Houses_sanctioned,141515.0,849.0,210.02860966846183,210.44868654759256,-0.42007687913073255,0.42007687913073255,6,Greater Mumbai Municipal Corporation
Central_assistance_sanctioned,1735.12,13.48,185.56093350211236,200.34816635028457,-14.78723284817221,14.78723284817221,7,Chennai Municipal Corporation
Central_assistance_released,1466.82,10.85,185.56093350211236,198.9093663357101,-13.348432833597741,13.348432833597741,7,Chennai Municipal Corporation
Investment,13411.39,41.66,185.56093350211236,196.29284122590118,-10.731907723788822,10.731907723788822,7,Chennai Municipal Corporation
Houses_sanctioned,97779.0,849.0,185.56093350211236,194.21571611127885,-8.654782609166489,8.654782609166489,7,Chennai Municipal Corporation
Houses_grounded,96138.0,739.0,185.56093350211236,190.97403815837018,-5.413104656257815,5.413104656257815,7,Chennai Municipal Corporation
Houses_completed,76843.0,647.0,185.56093350211236,189.85855463294052,-4.297621130828162,4.297621130828162,7,Chennai Municipal Corporation
Investment,4221.74,41.66,171.78812695985764,192.77437093243446,-20.98624397257683,20.98624397257683,8,Andhra Pradesh Capital Region Development
Central_assistance_sanctioned,1669.97,13.48,171.78812695985764,186.86060401084472,-15.07247705098709,15.07247705098709,8,Andhra Pradesh Capital Region Development
Houses_completed,49578.0,647.0,171.78812695985764,185.68033482757258,-13.892207867714944,13.892207867714944,8,Andhra Pradesh Capital Region Development
Central_assistance_released,1521.55,10.85,171.78812695985764,184.9561336197841,-13.168006659926476,13.168006659926476,8,Andhra Pradesh Capital Region Development
Houses_sanctioned,111154.0,849.0,171.78812695985764,175.3299862390862,-3.541859279228561,3.541859279228561,8,Andhra Pradesh Capital Region Development
Houses_grounded,110196.0,739.0,171.78812695985764,171.25491282839783,0.5332141314598005,0.5332141314598005,8,Andhra Pradesh Capital Region Development
Central_assistance_sanctioned,1676.7,13.48,170.3462319382378,185.55142215440523,-15.205190216167438,15.205190216167438,9,Rajkot Municipal Corporation
Investment,9409.46,41.66,170.3462319382378,184.52467459683803,-14.178442658600233,14.178442658600233,9,Rajkot Municipal Corporation
Houses_sanctioned,75976.0,849.0,170.3462319382378,184.00911995463332,-13.662888016395527,13.662888016395527,9,Rajkot Municipal Corporation
Central_assistance_released,1597.06,10.85,170.3462319382378,183.40152770375215,-13.055295765514359,13.055295765514359,9,Rajkot Municipal Corporation
Houses_grounded,75800.0,739.0,170.3462319382378,180.2279152965557,-9.8816833583179,9.8816833583179,9,Rajkot Municipal Corporation
Houses_completed,74573.0,647.0,170.3462319382378,173.67381061221747,-3.327578673979673,3.327578673979673,9,Rajkot Municipal Corporation
