Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kadapa, Municipal Corporation",1587.0900000000000000,409.7100000000000000,372.2100000000000000,26483.000000000000,25660.000000000000,11018.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kadiri, Municipality",289.1200000000000000,78.0900000000000000,64.8100000000000000,5140.0000000000000000,4770.0000000000000000,1825.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kakinada, Municipal Corporation",1409.6100000000000000,461.7500000000000000,386.7500000000000000,29533.000000000000,20630.000000000000,8857.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Kakinadai Development Authority (Kauda),876.7600000000000000,331.5100000000000000,287.3300000000000000,21901.000000000000,21894.000000000000,15241.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kalyandurg, Municipality",168.7400000000000000,69.9500000000000000,46.0300000000000000,4632.0000000000000000,4388.0000000000000000,2892.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kamalapuram, Town Panchayat",5.7100000000000000,1.28000000000000000000,0.62000000000000000000,81.0000000000000000,8.0000000000000000,8.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kandukur, Municipality",230.0800000000000000,68.2600000000000000,29.9900000000000000,4510.0000000000000000,3058.0000000000000000,2462.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kanigiri, Municipality",155.2000000000000000,42.5300000000000000,28.0900000000000000,2810.0000000000000000,2425.0000000000000000,1937.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kavali, Municipality",559.5600000000000000,163.3000000000000000,130.3000000000000000,10705.0000000000000000,10360.0000000000000000,7354.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kondapalli, Municipality",5.9800000000000000,1.38000000000000000000,0.55000000000000000000,92.0000000000000000,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kovvur, Municipality",154.9400000000000000,58.9700000000000000,67.2700000000000000,3897.0000000000000000,3721.0000000000000000,2076.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kuppam, Municipality",76.4600000000000000,27.6300000000000000,18.3200000000000000,1842.0000000000000000,1088.0000000000000000,472.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Kurnool Development Authority,1476.7800000000000000,759.9900000000000000,762.6400000000000000,50661.000000000000,50660.000000000000,32518.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Kurnool, Municipal Corporation",1583.7600000000000000,411.1000000000000000,230.9600000000000000,25938.000000000000,16404.0000000000000000,15966.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Macherla, Municipality",261.5300000000000000,92.9300000000000000,74.9200000000000000,6147.0000000000000000,5960.0000000000000000,1971.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Machilipatnam Development Authority,922.7700000000000000,389.5400000000000000,393.0800000000000000,25968.000000000000,25825.000000000000,13811.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Machilipatnam, Municipal Corporation",862.4500000000000000,313.7400000000000000,308.0800000000000000,20657.000000000000,20407.000000000000,5561.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Madakasira, Town Panchayat",46.4600000000000000,17.2400000000000000,11.2800000000000000,1146.0000000000000000,1006.0000000000000000,762.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Madanapalle, Municipality",308.9300000000000000,115.3000000000000000,100.9300000000000000,7635.0000000000000000,7426.0000000000000000,4664.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Mandapeta, Municipality",510.2300000000000000,131.2800000000000000,96.0400000000000000,8693.0000000000000000,8634.0000000000000000,7255.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Mangalagiri, Municipal Corporation",226.4100000000000000,40.0600000000000000,28.4700000000000000,2442.0000000000000000,2374.0000000000000000,2351.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Markapur, Municipality",345.2000000000000000,107.7300000000000000,86.2800000000000000,7136.0000000000000000,7061.0000000000000000,3135.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Mummidivaram, Town Panchayat",74.3000000000000000,29.0900000000000000,13.9400000000000000,1929.0000000000000000,1059.0000000000000000,840.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Mydukur, Municipality",163.0800000000000000,59.4300000000000000,47.9700000000000000,3951.0000000000000000,3466.0000000000000000,2124.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nagari, Municipality",158.3700000000000000,62.4600000000000000,47.3700000000000000,4153.0000000000000000,3509.0000000000000000,2870.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Naidupeta, Municipality",254.7200000000000000,63.8000000000000000,56.9100000000000000,4216.0000000000000000,3980.0000000000000000,1660.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nandigama, Municipality",109.6800000000000000,37.9600000000000000,59.3800000000000000,2470.0000000000000000,2362.0000000000000000,1438.0000000000000000
